,Accuracy,Precision,Recall,F1-Score,ROC-AUC
LogisticRegression_pipeline,0.7638418079096045,0.7475499974606243,0.7638418079096045,0.7498236181823618,0.8961782783880359
RandomForest_pipeline,0.7706214689265537,0.7561917316578364,0.7706214689265537,0.7557155361329936,0.9057139679116193
GradientBoosting_pipeline,0.7536723163841808,0.7410647857392688,0.7536723163841808,0.7441967410439938,0.9030367186720965
RandomForest_Tuned,0.7706214689265537,0.7561917316578364,0.7706214689265537,0.7557155361329936,0.9057139679116193
